I, [2017-01-16T10:49:57.697046 #7658]  INFO -- Kitchen: -----> Starting Kitchen (v1.14.2)
E, [2017-01-16T10:49:57.697341 #7658] ERROR -- Kitchen: ------Exception-------
E, [2017-01-16T10:49:57.697370 #7658] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-01-16T10:49:57.697389 #7658] ERROR -- Kitchen: Message: Kitchen YAML file /Users/mattw/chef/.kitchen.yml does not exist.
E, [2017-01-16T10:49:57.697405 #7658] ERROR -- Kitchen: ----------------------
E, [2017-01-16T10:49:57.697421 #7658] ERROR -- Kitchen: ------Backtrace-------
E, [2017-01-16T10:49:57.697437 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-01-16T10:49:57.697453 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:152:in `data'
E, [2017-01-16T10:49:57.697469 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:131:in `suites'
E, [2017-01-16T10:49:57.697512 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-01-16T10:49:57.697528 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-01-16T10:49:57.697544 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:117:in `instances'
E, [2017-01-16T10:49:57.697559 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-01-16T10:49:57.697575 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-01-16T10:49:57.697590 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-01-16T10:49:57.697605 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-01-16T10:49:57.697620 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/action.rb:34:in `call'
E, [2017-01-16T10:49:57.697635 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:53:in `perform'
E, [2017-01-16T10:49:57.697650 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-01-16T10:49:57.697665 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-01-16T10:49:57.697680 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-01-16T10:49:57.697695 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-01-16T10:49:57.697710 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-01-16T10:49:57.697725 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-01-16T10:49:57.697740 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-01-16T10:49:57.697755 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-01-16T10:49:57.697771 #7658] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `<top (required)>'
E, [2017-01-16T10:49:57.697786 #7658] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2017-01-16T10:49:57.697800 #7658] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2017-01-16T10:49:57.697839 #7658] ERROR -- Kitchen: ----End Backtrace-----
